SO2.7.Q2,O3.7.Q2,PM2.5.7.Q2,SO2.11.Q2,O3.11.Q2,PM2.5.11.Q2
7.041666667,19.475,12.91666667,6.004166667,31.8125,29.625
7.866666667,12.75833333,8.25,5.691666667,35.37916667,29.91666667
3.679166667,9.820833333,6.083333333,7.675,33.27916667,22.66666667
8.541666667,11.65,10.25,4.441666667,40.6625,27
8.520833333,36.94583333,17.16666667,5.829166667,41.66666667,24.75
9.3125,21.775,17.41666667,7.070833333,45.55833333,30.625
9.129166667,35.15,24.75,4.6,45.87083333,43.0625
4.8,18.64166667,7.666666667,0,0,0
2.641666667,27.68333333,5.5,4.570833333,39.28333333,27.16666667
2.6125,28.375,6.791666667,4.345833333,26.675,26.91666667
1.8875,23.33333333,4.666666667,5.670833333,26.10416667,25.79166667
2.033333333,25,5.291666667,5.683333333,42.4625,37.625
4.529166667,18.60833333,7.458333333,5.441666667,39.4875,35.79166667
6.664583333,12.87916667,10.91666667,8.325,41.96666667,54.16666667
14.52916667,10.87083333,12.66666667,7.7625,54.34583333,71.875
4.829166667,12.93333333,12.5,5.095833333,43.5375,60
7.925,11.42916667,15.75,7.191666667,43.0375,54.52083333
7.183333333,10.07916667,12.08333333,6.666666667,40.55,57.70833333
5,11.39166667,15.6875,8.6375,47.29166667,63.25
5.0375,12.925,14.25,7.95,29.16666667,53.33333333
4.875,20.7375,11.33333333,8.616666667,26.09583333,37.375
4.770833333,17.24166667,15.75,6.766666667,3.729166667,33.64583333
6.029166667,18.30833333,14.41666667,5.758333333,0,27.20833333
6.5875,23.10416667,19.20833333,4.070833333,0,22.70833333
15.7375,17.34583333,20.20833333,7.0875,0,26.625
7.566666667,25.0875,19.33333333,3.9,0,27.29166667
10.55416667,15.22916667,15.04166667,2.745833333,0,4.583333333
10.95833333,16.31666667,13.16666667,5.454166667,0,27.08333333
11.79583333,21.67083333,18.875,5.429166667,0,38.375
7.908333333,22.75,19.4375,6.229166667,0,33.29166667
6.654166667,30.67916667,25.58333333,0,0,0
